"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"1473","07/01/2024","BB","Boothby","NE",331,1,"Holcus_lanatus",50,"","A"
"1474","07/01/2024","BB","Boothby","NE",331,1,"Poa_pratensis",15,"","A"
"1475","07/01/2024","BB","Boothby","NE",331,1,"Epilobium_hirsutum",10,"","A"
"1476","07/01/2024","BB","Boothby","NE",331,1,"Myosotis_sylvatica",5,"","A"
"1477","07/01/2024","BB","Boothby","NE",331,1,"Epilobium_parviflorum",4,"","A"
"1478","07/01/2024","BB","Boothby","NE",331,1,"Cirsium_dissectum",4,"","A"
"1479","07/01/2024","BB","Boothby","NE",331,1,"Veronica_arvensis",5,"","A"
"1481","07/01/2024","BB","Boothby","NE",331,2,"Holcus_lanatus",60,"","A"
"1482","07/01/2024","BB","Boothby","NE",331,2,"Poa_pratensis",15,"","A"
"1483","07/01/2024","BB","Boothby","NE",331,2,"Epilobium_hirsutum",15,"","A"
"1484","07/01/2024","BB","Boothby","NE",331,2,"Myosotis_sylvatica",5,"","A"
"1485","07/01/2024","BB","Boothby","NE",331,2,"Epilobium_palustre",10,"","A"
"1486","07/01/2024","BB","Boothby","NE",331,2,"Epilobium_ciliatum",5,"","A"
"1487","07/01/2024","BB","Boothby","NE",331,3,"Holcus_lanatus",55,"","A"
"1488","07/01/2024","BB","Boothby","NE",331,3,"Poa_pratensis",5,"","A"
"1489","07/01/2024","BB","Boothby","NE",331,3,"Epilobium_hirsutum",5,"","A"
"1490","07/01/2024","BB","Boothby","NE",331,3,"Myosotis_sylvatica",10,"","A"
"1491","07/01/2024","BB","Boothby","NE",331,3,"Epilobium_parviflorum",3,"","A"
"1492","07/01/2024","BB","Boothby","NE",331,3,"Cirsium_tuberosum",5,"","A"
"1493","07/01/2024","BB","Boothby","NE",331,3,"Sonchus_arvensis",6,"","A"
"1494","07/01/2024","BB","Boothby","NE",331,4,"Holcus_lanatus",40,"","A"
"1495","07/01/2024","BB","Boothby","NE",331,4,"Poa_pratensis",10,"","A"
"1496","07/01/2024","BB","Boothby","NE",331,4,"Epilobium_hirsutum",15,"","A"
"1497","07/01/2024","BB","Boothby","NE",331,4,"Myosotis_sylvatica",5,"","A"
"1498","07/01/2024","BB","Boothby","NE",331,4,"Epilobium_palustre",5,"","A"
"1499","07/01/2024","BB","Boothby","NE",331,4,"Fraxinus_excelsior",10,"","A"
"1501","07/01/2024","BB","Boothby","NE",331,4,"Bromus_hordeaceus",5,"","A"
"1502","07/01/2024","BB","Boothby","NE",332,1,"Holcus_lanatus",50,"","A"
"1503","07/01/2024","BB","Boothby","NE",332,1,"Cirsium_discolor",10,"","A"
"1504","07/01/2024","BB","Boothby","NE",332,1,"Epilobium_parviflorum",15,"","A"
"1505","07/01/2024","BB","Boothby","NE",332,1,"Epilobium_hirsutum",10,"","A"
"1506","07/01/2024","BB","Boothby","NE",332,1,"Cirsium_tuberosum",5,"","A"
"1508","07/01/2024","BB","Boothby","NE",332,1,"Poa_pratensis",5,"","A"
"1509","07/01/2024","BB","Boothby","NE",332,2,"Holcus_lanatus",60,"","A"
"1510","07/01/2024","BB","Boothby","NE",332,2,"Sonchus_arvensis",20,"","A"
"1511","07/01/2024","BB","Boothby","NE",332,2,"Epilobium_parviflorum",4,"","A"
"1512","07/01/2024","BB","Boothby","NE",332,2,"Epilobium_hirsutum",5,"","A"
"1513","07/01/2024","BB","Boothby","NE",332,2,"Epilobium_montanum",3,"","A"
"1515","07/01/2024","BB","Boothby","NE",332,3,"Holcus_lanatus",40,"","A"
"1516","07/01/2024","BB","Boothby","NE",332,3,"Sonchus_arvensis",5,"","A"
"1517","07/01/2024","BB","Boothby","NE",332,3,"Epilobium_parviflorum",10,"","A"
"1518","07/01/2024","BB","Boothby","NE",332,3,"Epilobium_hirsutum",15,"","A"
"1519","07/01/2024","BB","Boothby","NE",332,3,"Cirsium_tuberosum",10,"","A"
"1520","07/01/2024","BB","Boothby","NE",332,3,"Poa_pratensis",5,"","A"
"1521","07/01/2024","BB","Boothby","NE",332,3,"Senecio_sylvaticus",15,"","A"
"1523","07/01/2024","BB","Boothby","NE",332,4,"Holcus_lanatus",30,"","A"
"1524","07/01/2024","BB","Boothby","NE",332,4,"Sonchus_arvensis",30,"","A"
"1525","07/01/2024","BB","Boothby","NE",332,4,"Epilobium_parviflorum",5,"","A"
"1526","07/01/2024","BB","Boothby","NE",332,4,"Epilobium_hirsutum",20,"","A"
"1527","07/01/2024","BB","Boothby","NE",332,4,"Epilobium_montanum",4,"","A"
"1528","07/01/2024","BB","Boothby","NE",332,4,"Poa_pratensis",5,"","A"
"1529","07/01/2024","BB","Boothby","NE",332,4,"Rubus_pruinosus",10,"","A"
"1530","07/01/2024","BB","Boothby","NE",332,4,"Veronica_serpyllifolia",2,"","A"
"1532","07/01/2024","BB","Boothby","NE",323,1,"Epilobium_parviflorum",65,"","A"
"1533","07/01/2024","BB","Boothby","NE",323,1,"Epilobium_tetragonum",5,"","A"
"1534","07/01/2024","BB","Boothby","NE",323,1,"Epilobium_hirsutum",10,"","A"
"1535","07/01/2024","BB","Boothby","NE",323,1,"Cirsium_discolor",5,"","A"
"1537","07/01/2024","BB","Boothby","NE",323,2,"Epilobium_parviflorum",40,"","A"
"1538","07/01/2024","BB","Boothby","NE",323,2,"Cirsium_discolor",10,"","A"
"1539","07/01/2024","BB","Boothby","NE",323,2,"Epilobium_hirsutum",10,"","A"
"1541","07/01/2024","BB","Boothby","NE",323,2,"Epilobium_tetragonum",30,"","A"
"1542","07/01/2024","BB","Boothby","NE",323,3,"Epilobium_parviflorum",50,"","A"
"1543","07/01/2024","BB","Boothby","NE",323,3,"Epilobium_tetragonum",15,"","A"
"1544","07/01/2024","BB","Boothby","NE",323,3,"Epilobium_hirsutum",5,"","A"
"1545","07/01/2024","BB","Boothby","NE",323,3,"Cirsium_discolor",10,"","A"
"1547","07/01/2024","BB","Boothby","NE",323,4,"Epilobium_parviflorum",20,"","A"
"1548","07/01/2024","BB","Boothby","NE",323,4,"Epilobium_tetragonum",40,"","A"
"1549","07/01/2024","BB","Boothby","NE",323,4,"Cirsium_discolor",15,"","A"
"1550","07/01/2024","BB","Boothby","NE",323,4,"Epilobium_hirsutum",10,"","A"
"1551","07/01/2024","BB","Boothby","NE",323,4,"Cirsium_tuberosum",5,"","A"
"1553","07/01/2024","BB","Boothby","NE",322,1,"Bromus_hordeaceus",80,"","A"
"1554","07/01/2024","BB","Boothby","NE",322,1,"Holcus_lanatus",20,"","A"
"1555","07/01/2024","BB","Boothby","NE",322,2,"Bromus_hordeaceus",20,"","A"
"1556","07/01/2024","BB","Boothby","NE",322,2,"Holcus_lanatus",70,"","A"
"1557","07/01/2024","BB","Boothby","NE",322,2,"Bromus_sterilis",30,"","A"
"1558","07/01/2024","BB","Boothby","NE",322,3,"Bromus_hordeaceus",69,"","A"
"1559","07/01/2024","BB","Boothby","NE",322,3,"Holcus_lanatus",20,"","A"
"1560","07/01/2024","BB","Boothby","NE",322,3,"Epilobium_hirsutum",1,"","A"
"1561","07/01/2024","BB","Boothby","NE",322,3,"Cirsium_tuberosum",5,"","A"
"1563","07/01/2024","BB","Boothby","NE",322,4,"Bromus_hordeaceus",10,"","A"
"1564","07/01/2024","BB","Boothby","NE",322,4,"Holcus_lanatus",70,"","A"
"1565","07/01/2024","BB","Boothby","NE",322,4,"Bromus_hordeaceus",15,"","A"
"1567","07/01/2024","BB","Boothby","NE",321,1,"Cirsium_discolor",20,"","A"
"1568","07/01/2024","BB","Boothby","NE",321,1,"Quercus_petraea",10,"","A"
"1569","07/01/2024","BB","Boothby","NE",321,1,"Rumex_conglomeratus",10,"","A"
"1570","07/01/2024","BB","Boothby","NE",321,1,"Populus_alba",5,"","A"
"1571","07/01/2024","BB","Boothby","NE",321,1,"Vicia_tetrasperma",1,"","A"
"1572","07/01/2024","BB","Boothby","NE",321,1,"Picea_abies",0,"","A"
"1573","07/01/2024","BB","Boothby","NE",321,1,"Fagus_sylvatica",0,"10% overhang","A"
"1577","07/01/2024","BB","Boothby","NE",321,1,"Agrostis_stolonifera",5,"","A"
"1578","07/01/2024","BB","Boothby","NE",321,1,"Epilobium_hirsutum",1,"","A"
"1579","07/01/2024","BB","Boothby","NE",321,2,"Cirsium_discolor",1,"","A"
"1580","07/01/2024","BB","Boothby","NE",321,2,"Rumex_conglomeratus",24,"","A"
"1581","07/01/2024","BB","Boothby","NE",321,2,"Ranunculus_bulbosus",1,"","A"
"1582","07/01/2024","BB","Boothby","NE",321,2,"Populus_tremuloides",5,"","A"
"1586","07/01/2024","BB","Boothby","NE",321,3,"Cirsium_discolor",5,"","A"
"1587","07/01/2024","BB","Boothby","NE",321,3,"Quercus_petraea",1,"","A"
"1588","07/01/2024","BB","Boothby","NE",321,3,"Rumex_conglomeratus",10,"","A"
"1589","07/01/2024","BB","Boothby","NE",321,3,"Rosa_agrestis",5,"","A"
"1590","07/01/2024","BB","Boothby","NE",321,3,"Rubus_saxatilis",5,"","A"
"1591","07/01/2024","BB","Boothby","NE",321,3,"Pyrola_minor",5,"","A"
"1592","07/01/2024","BB","Boothby","NE",321,3,"Epilobium_hirsutum",5,"","A"
"1593","07/01/2024","BB","Boothby","NE",321,3,"Agrostis_stolonifera",10,"","A"
"1596","07/01/2024","BB","Boothby","NE",321,3,"Picea_abies",0,"","A"
"1598","07/01/2024","BB","Boothby","NE",321,4,"Cirsium_discolor",5,"","A"
"1599","07/01/2024","BB","Boothby","NE",321,4,"Rumex_conglomeratus",10,"","A"
"1600","07/01/2024","BB","Boothby","NE",321,4,"Geum_aleppicum",1,"","A"
"1601","07/01/2024","BB","Boothby","NE",321,4,"Epilobium_tetragonum",2,"","A"
"1602","07/01/2024","BB","Boothby","NE",321,4,"Holcus_lanatus",10,"","A"
"1603","07/01/2024","BB","Boothby","NE",321,4,"Vicia_tetrasperma",4,"","A"
"1606","07/01/2024","BB","Boothby","NE",333,1,"Epilobium_parviflorum",15,"","A"
"1607","07/01/2024","BB","Boothby","NE",333,1,"Epilobium_tetragonum",10,"","A"
"1608","07/01/2024","BB","Boothby","NE",333,1,"Matricaria_chamomilla",5,"","A"
"1609","07/01/2024","BB","Boothby","NE",333,1,"Epilobium_hirsutum",10,"","A"
"1610","07/01/2024","BB","Boothby","NE",333,1,"Brassica_rapa",5,"","A"
"1611","07/01/2024","BB","Boothby","NE",333,1,"Rosa_multiflora_",10,"","A"
"1612","07/01/2024","BB","Boothby","NE",333,1,"Cirsium_discolor",5,"","A"
"1616","07/01/2024","BB","Boothby","NE",333,1,"Agrostis_stolonifera",5,"","A"
"1617","07/01/2024","BB","Boothby","NE",333,2,"Epilobium_parviflorum",15,"","A"
"1618","07/01/2024","BB","Boothby","NE",333,2,"Epilobium_tetragonum",15,"","A"
"1619","07/01/2024","BB","Boothby","NE",333,2,"Epilobium_hirsutum",5,"","A"
"1620","07/01/2024","BB","Boothby","NE",333,2,"Epilobium_palustre",10,"","A"
"1621","07/01/2024","BB","Boothby","NE",333,2,"Matricaria_chamomilla",10,"","A"
"1622","07/01/2024","BB","Boothby","NE",333,2,"Brassica_rapa",5,"","A"
"1623","07/01/2024","BB","Boothby","NE",333,2,"Cirsium_discolor",10,"","A"
"1625","07/01/2024","BB","Boothby","NE",333,3,"Epilobium_parviflorum",15,"","A"
"1626","07/01/2024","BB","Boothby","NE",333,3,"Epilobium_tetragonum",10,"","A"
"1627","07/01/2024","BB","Boothby","NE",333,3,"Matricaria_chamomilla",10,"","A"
"1628","07/01/2024","BB","Boothby","NE",333,3,"Epilobium_hirsutum",5,"","A"
"1629","07/01/2024","BB","Boothby","NE",333,3,"Cirsium_discolor",10,"","A"
"1631","07/01/2024","BB","Boothby","NE",333,3,"Agrostis_stolonifera",1,"","A"
"1632","07/01/2024","BB","Boothby","NE",333,4,"Epilobium_tetragonum",15,"","A"
"1633","07/01/2024","BB","Boothby","NE",333,4,"Epilobium_parviflorum",10,"","A"
"1634","07/01/2024","BB","Boothby","NE",333,4,"Cirsium_discolor",25,"","A"
"1635","07/01/2024","BB","Boothby","NE",333,4,"Brassica_rapa",5,"","A"
"1636","07/01/2024","BB","Boothby","NE",333,4,"Matricaria_chamomilla",5,"","A"
"1638","07/01/2024","BB","Boothby","NE",333,4,"Galium_aparine",4,"","A"
"1639","07/01/2024","BB","Boothby","NE",333,4,"Hyacinthoides_non-scripta",8,"","A"
"1640","07/02/2024","EL","Boothby","S",112,1,"Epilobium_montanum",5,"","A"
"1641","07/02/2024","EL","Boothby","S",112,1,"Triticum_aestivum",85,"","A"
"1643","07/02/2024","EL","Boothby","S",112,2,"Epilobium_montanum",5,"","A"
"1644","07/02/2024","EL","Boothby","S",112,2,"Lolium_perenne",5,"","A"
"1645","07/02/2024","EL","Boothby","S",112,2,"Triticum_aestivum",80,"","A"
"1647","07/02/2024","EL","Boothby","S",112,3,"Triticum_aestivum",90,"","A"
"1649","07/02/2024","EL","Boothby","S",112,4,"Epilobium_montanum",5,"","A"
"1650","07/02/2024","EL","Boothby","S",112,4,"Epilobium_hirsutum",5,"","A"
"1651","07/02/2024","EL","Boothby","S",112,4,"Triticum_aestivum",80,"","A"
"1653","07/02/2024","EL","Boothby","S",121,1,"Arrhenatherum_elatius",100,"","A"
"1654","07/02/2024","EL","Boothby","S",121,2,"Arrhenatherum_elatius",100,"","A"
"1655","07/02/2024","EL","Boothby","S",121,3,"Arrhenatherum_elatius",100,"","A"
"1656","07/02/2024","EL","Boothby","S",121,4,"Arrhenatherum_elatius",94,"","A"
"1657","07/02/2024","EL","Boothby","S",121,4,"Holcus_lanatus",5,"","A"
"1658","07/02/2024","EL","Boothby","S",121,4,"Dactylis_glomerata",1,"","A"
"1659","07/02/2024","EL","Boothby","S",123,1,"Dipsacus_fullonum",40,"","A"
"1660","07/02/2024","EL","Boothby","S",123,1,"Epilobium_hirsutum",15,"","A"
"1661","07/02/2024","EL","Boothby","S",123,1,"Holcus_lanatus",25,"","A"
"1662","07/02/2024","EL","Boothby","S",123,1,"Bromus_hordeaceus",10,"","A"
"1663","07/02/2024","EL","Boothby","S",123,1,"Poa_pratensis",5,"","A"
"1665","07/02/2024","EL","Boothby","S",123,2,"Agrostis_stolonifera",10,"","A"
"1666","07/02/2024","EL","Boothby","S",123,2,"Holcus_lanatus",5,"","A"
"1667","07/02/2024","EL","Boothby","S",123,2,"Lolium_perenne",1,"","A"
"1668","07/02/2024","EL","Boothby","S",123,2,"Festuca_rubra",5,"","A"
"1669","07/02/2024","EL","Boothby","S",123,2,"Epilobium_hirsutum",70,"","A"
"1671","07/02/2024","EL","Boothby","S",123,3,"Dactylis_glomerata",25,"","A"
"1672","07/02/2024","EL","Boothby","S",123,3,"Epilobium_hirsutum",15,"","A"
"1673","07/02/2024","EL","Boothby","S",123,3,"Holcus_lanatus",10,"","A"
"1674","07/02/2024","EL","Boothby","S",123,3,"Bromus_hordeaceus",10,"","A"
"1677","07/02/2024","EL","Boothby","S",123,3,"Epilobium_tetragonum",1,"","A"
"1678","07/02/2024","EL","Boothby","S",123,4,"Dactylis_glomerata",20,"","A"
"1679","07/02/2024","EL","Boothby","S",123,4,"Epilobium_hirsutum",80,"","A"
"1680","07/02/2024","EL","Boothby","S",123,4,"Holcus_lanatus",20,"","A"
"1681","07/02/2024","EL","Boothby","S",123,4,"Agrostis_stolonifera",10,"","A"
"1683","07/02/2024","EL","Boothby","S",122,1,"Matricaria_chamomilla",25,"","A"
"1685","07/02/2024","EL","Boothby","S",122,2,"Matricaria_chamomilla",5,"","A"
"1686","07/02/2024","EL","Boothby","S",122,2,"Epilobium_hirsutum",15,"","A"
"1687","07/02/2024","EL","Boothby","S",122,2,"Epilobium_tetragonum",5,"","A"
"1688","07/02/2024","EL","Boothby","S",122,2,"Triticum_aestivum",10,"","A"
"1690","07/02/2024","EL","Boothby","S",122,2,"Senecio_sylvaticus",5,"","A"
"1691","07/02/2024","EL","Boothby","S",122,3,"Taraxacum_officinale",4,"","A"
"1692","07/02/2024","EL","Boothby","S",122,3,"Triticum_aestivum",75,"","A"
"1694","07/02/2024","EL","Boothby","S",122,4,"Taraxacum_officinale",1,"","A"
"1695","07/02/2024","EL","Boothby","S",122,4,"Triticum_aestivum",89,"","A"
"1697","07/02/2024","EL","Boothby","C",313,1,"Lolium_perenne",60,"","A"
"1698","07/02/2024","EL","Boothby","C",313,1,"Geranium_dissectum_",10,"","A"
"1699","07/02/2024","EL","Boothby","C",313,1,"Festuca_subuliflora",1,"","A"
"1700","07/02/2024","EL","Boothby","C",313,1,"Epilobium_tetragonum",1,"","A"
"1701","07/02/2024","EL","Boothby","C",313,2,"Lolium_perenne",15,"","A"
"1702","07/02/2024","EL","Boothby","C",313,2,"Bromus_commutatus",10,"","A"
"1703","07/02/2024","EL","Boothby","C",313,2,"Epilobium_hirsutum",10,"","A"
"1704","07/02/2024","EL","Boothby","C",313,2,"Geranium_dissectum_",5,"","A"
"1705","07/02/2024","EL","Boothby","C",313,2,"Vicia_faba",5,"","A"
"1706","07/02/2024","EL","Boothby","C",313,2,"Alopecurus_myosuroides",5,"","A"
"1708","07/02/2024","EL","Boothby","C",313,3,"Lolium_perenne",50,"","A"
"1709","07/02/2024","EL","Boothby","C",313,3,"Alopecurus_myosuroides",1,"","A"
"1710","07/02/2024","EL","Boothby","C",313,3,"Geranium_dissectum_",10,"","A"
"1711","07/02/2024","EL","Boothby","C",313,3,"Vicia_faba",5,"","A"
"1712","07/02/2024","EL","Boothby","C",313,3,"Cirsium_tuberosum",4,"","A"
"1714","07/02/2024","EL","Boothby","C",313,4,"Lolium_perenne",25,"","A"
"1715","07/02/2024","EL","Boothby","C",313,4,"Alopecurus_myosuroides",5,"","A"
"1716","07/02/2024","EL","Boothby","C",313,4,"Geranium_dissectum_",10,"","A"
"1717","07/02/2024","EL","Boothby","C",313,4,"Bromus_commutatus",5,"","A"
"1719","07/02/2024","EL","Boothby","C",313,4,"Helminthotheca_echioides",1,"","A"
"1720","07/02/2024","EL","Boothby","C",331,1,"Epilobium_parviflorum",40,"","A"
"1721","07/02/2024","EL","Boothby","C",331,1,"Epilobium_hirsutum",10,"","A"
"1722","07/02/2024","EL","Boothby","C",331,1,"Triticum_aestivum",1,"","A"
"1723","07/02/2024","EL","Boothby","C",331,1,"Phleum_alpinum",1,"","A"
"1724","07/02/2024","EL","Boothby","C",331,1,"Lolium_perenne",5,"","A"
"1725","07/02/2024","EL","Boothby","C",331,1,"Sonchus_asper",5,"","A"
"1729","07/02/2024","EL","Boothby","C",331,1,"Alopecurus_myosuroides",5,"","A"
"1730","07/02/2024","EL","Boothby","C",331,2,"Epilobium_parviflorum",30,"","A"
"1731","07/02/2024","EL","Boothby","C",331,2,"Epilobium_hirsutum",10,"","A"
"1732","07/02/2024","EL","Boothby","C",331,2,"Triticum_aestivum",5,"","A"
"1733","07/02/2024","EL","Boothby","C",331,2,"Sonchus_asper",5,"","A"
"1734","07/02/2024","EL","Boothby","C",331,2,"Alopecurus_myosuroides",15,"","A"
"1735","07/02/2024","EL","Boothby","C",331,2,"Matricaria_chamomilla",1,"","A"
"1736","07/02/2024","EL","Boothby","C",331,2,"Phleum_pratense",1,"","A"
"1739","07/02/2024","EL","Boothby","C",331,3,"Epilobium_tetragonum",15,"","A"
"1740","07/02/2024","EL","Boothby","C",331,3,"Epilobium_parviflorum",15,"","A"
"1741","07/02/2024","EL","Boothby","C",331,3,"Epilobium_hirsutum",5,"","A"
"1742","07/02/2024","EL","Boothby","C",331,3,"Epilobium_ciliatum",5,"","A"
"1743","07/02/2024","EL","Boothby","C",331,3,"Alopecurus_myosuroides",20,"","A"
"1744","07/02/2024","EL","Boothby","C",331,3,"Lolium_perenne",15,"","A"
"1745","07/02/2024","EL","Boothby","C",331,3,"Cirsium_arvense",5,"","A"
"1746","07/02/2024","EL","Boothby","C",331,3,"Trifolium_fragiferum",4,"","A"
"1747","07/02/2024","EL","Boothby","C",331,3,"Trifolium_hybridum",1,"","A"
"1748","07/02/2024","EL","Boothby","C",331,3,"Triticum_aestivum",2,"","A"
"1750","07/02/2024","EL","Boothby","C",331,4,"Epilobium_tetragonum",3,"","A"
"1751","07/02/2024","EL","Boothby","C",331,4,"Epilobium_parviflorum",2,"","A"
"1752","07/02/2024","EL","Boothby","C",331,4,"Epilobium_hirsutum",2,"","A"
"1753","07/02/2024","EL","Boothby","C",331,4,"Epilobium_ciliatum",10,"","A"
"1754","07/02/2024","EL","Boothby","C",331,4,"Alopecurus_myosuroides",5,"","A"
"1755","07/02/2024","EL","Boothby","C",331,4,"Lolium_perenne",20,"","A"
"1756","07/02/2024","EL","Boothby","C",331,4,"Trifolium_fragiferum",5,"","A"
"1758","07/02/2024","EL","Boothby","C",333,1,"Sonchus_asper",15,"","A"
"1759","07/02/2024","EL","Boothby","C",333,1,"Crepis_capillaris",5,"","A"
"1760","07/02/2024","EL","Boothby","C",333,1,"Epilobium_hirsutum",5,"","A"
"1761","07/02/2024","EL","Boothby","C",333,1,"Pilosella_officinarum",5,"","A"
"1762","07/02/2024","EL","Boothby","C",333,1,"Taraxacum_officinale",5,"","A"
"1763","07/02/2024","EL","Boothby","C",333,1,"Lolium_perenne",15,"","A"
"1765","07/02/2024","EL","Boothby","C",333,2,"Lolium_perenne",20,"","A"
"1766","07/02/2024","EL","Boothby","C",333,2,"Convolvulus_arvensis",10,"","A"
"1767","07/02/2024","EL","Boothby","C",333,2,"Taraxacum_officinale",10,"","A"
"1769","07/02/2024","EL","Boothby","C",333,3,"Sonchus_asper",5,"","A"
"1770","07/02/2024","EL","Boothby","C",333,3,"Epilobium_hirsutum",5,"","A"
"1771","07/02/2024","EL","Boothby","C",333,3,"Lolium_perenne",30,"","A"
"1772","07/02/2024","EL","Boothby","C",333,3,"Taraxacum_officinale",5,"","A"
"1773","07/02/2024","EL","Boothby","C",333,3,"Crepis_capillaris",10,"","A"
"1774","07/02/2024","EL","Boothby","C",333,3,"Holcus_lanatus",5,"","A"
"1776","07/02/2024","EL","Boothby","C",333,4,"Helminthotheca_echioides",5,"","A"
"1777","07/02/2024","EL","Boothby","C",333,4,"Lolium_perenne",20,"","A"
"1778","07/02/2024","EL","Boothby","C",333,4,"Taraxacum_officinale",3,"","A"
"1779","07/02/2024","EL","Boothby","C",333,4,"Epilobium_tetragonum",2,"","A"
"1780","07/02/2024","EL","Boothby","C",333,4,"Crepis_mollis",4,"","A"
"1782","02/07/2024","BB","Boothby","C",332,1,"Crepis_capillaris",35,"","A"
"1783","02/07/2024","BB","Boothby","C",332,1,"Epilobium_tetragonum",10,"","A"
"1784","02/07/2024","BB","Boothby","C",332,1,"Epilobium_parviflorum",10,"","A"
"1785","02/07/2024","BB","Boothby","C",332,1,"Holcus_lanatus",15,"","A"
"1787","02/07/2024","BB","Boothby","C",332,2,"Epilobium_tetragonum",20,"","A"
"1788","02/07/2024","BB","Boothby","C",332,2,"Crepis_capillaris",15,"","A"
"1789","02/07/2024","BB","Boothby","C",332,2,"Holcus_lanatus",10,"","A"
"1790","02/07/2024","BB","Boothby","C",332,2,"Epilobium_hirsutum",10,"","A"
"1791","02/07/2024","BB","Boothby","C",332,2,"Taraxacum_officinale",10,"","A"
"1792","02/07/2024","BB","Boothby","C",332,2,"Cirsium_discolor",5,"","A"
"1795","02/07/2024","BB","Boothby","C",332,3,"Holcus_lanatus",20,"","A"
"1796","02/07/2024","BB","Boothby","C",332,3,"Crepis_capillaris",15,"","A"
"1797","02/07/2024","BB","Boothby","C",332,3,"Epilobium_tetragonum",10,"","A"
"1798","02/07/2024","BB","Boothby","C",332,3,"Epilobium_parviflorum",5,"","A"
"1800","02/07/2024","BB","Boothby","C",332,4,"Holcus_lanatus",30,"","A"
"1801","02/07/2024","BB","Boothby","C",332,4,"Crepis_capillaris",10,"","A"
"1802","02/07/2024","BB","Boothby","C",332,4,"Epilobium_parviflorum",15,"","A"
"1803","02/07/2024","BB","Boothby","C",332,4,"Helminthotheca_echioides",10,"","A"
"1804","02/07/2024","BB","Boothby","C",332,4,"Epilobium_angustifolium",5,"","A"
"1805","02/07/2024","BB","Boothby","C",332,4,"Epilobium_hirsutum",5,"","A"
"1808","02/07/2024","BB","Boothby","C",323,1,"Triticum_aestivum",10,"","A"
"1809","02/07/2024","BB","Boothby","C",323,1,"Crepis_capillaris",10,"","A"
"1810","02/07/2024","BB","Boothby","C",323,1,"Epilobium_tetragonum",15,"","A"
"1811","02/07/2024","BB","Boothby","C",323,1,"Holcus_lanatus",5,"","A"
"1812","02/07/2024","BB","Boothby","C",323,1,"Cirsium_vulgare",15,"","A"
"1813","02/07/2024","BB","Boothby","C",323,1,"Epilobium_hirsutum",5,"","A"
"1815","02/07/2024","BB","Boothby","C",323,2,"Crepis_mollis",10,"","A"
"1816","02/07/2024","BB","Boothby","C",323,2,"Epilobium_tetragonum",7,"","A"
"1817","02/07/2024","BB","Boothby","C",323,2,"Epilobium_parviflorum",8,"","A"
"1818","02/07/2024","BB","Boothby","C",323,2,"Triticum_aestivum",3,"","A"
"1819","02/07/2024","BB","Boothby","C",323,2,"Cirsium_discolor",6,"","A"
"1820","02/07/2024","BB","Boothby","C",323,2,"Bromus_hordeaceus",10,"","A"
"1822","02/07/2024","BB","Boothby","C",323,3,"Triticum_aestivum",5,"","A"
"1823","02/07/2024","BB","Boothby","C",323,3,"Crepis_mollis",15,"","A"
"1824","02/07/2024","BB","Boothby","C",323,3,"Epilobium_parviflorum",5,"","A"
"1825","02/07/2024","BB","Boothby","C",323,3,"Helminthotheca_echioides",10,"","A"
"1826","02/07/2024","BB","Boothby","C",323,3,"Cirsium_vulgare",5,"","A"
"1827","02/07/2024","BB","Boothby","C",323,3,"Holcus_lanatus",20,"","A"
"1828","02/07/2024","BB","Boothby","C",323,3,"Lolium_perenne",5,"","A"
"1829","02/07/2024","BB","Boothby","C",323,3,"Bromus_hordeaceus",1,"","A"
"1832","02/07/2024","BB","Boothby","C",323,4,"Bromus_hordeaceus",5,"","A"
"1833","02/07/2024","BB","Boothby","C",323,4,"Triticum_aestivum",1,"","A"
"1834","02/07/2024","BB","Boothby","C",323,4,"Crepis_capillaris",3,"","A"
"1835","02/07/2024","BB","Boothby","C",323,4,"Epilobium_parviflorum",6,"","A"
"1836","02/07/2024","BB","Boothby","C",323,4,"Cirsium_vulgare",5,"","A"
"1839","02/07/2024","BB","Boothby","C",323,4,"Holcus_lanatus",20,"","A"
"1840","02/07/2024","BB","Boothby","C",322,1,"Triticum_aestivum",50,"","A"
"1842","02/07/2024","BB","Boothby","C",322,1,"Lolium_perenne",10,"","A"
"1844","02/07/2024","BB","Boothby","C",322,2,"Triticum_aestivum",30,"","A"
"1845","02/07/2024","BB","Boothby","C",322,2,"Matricaria_chamomilla",5,"","A"
"1848","02/07/2024","BB","Boothby","C",322,2,"Lolium_perenne",10,"","A"
"1849","02/07/2024","BB","Boothby","C",322,3,"Triticum_aestivum",55,"","A"
"1850","02/07/2024","BB","Boothby","C",322,3,"Matricaria_chamomilla",5,"","A"
"1853","02/07/2024","BB","Boothby","C",322,3,"Lolium_perenne",15,"","A"
"1854","02/07/2024","BB","Boothby","C",322,4,"Triticum_aestivum",55,"","A"
"1855","02/07/2024","BB","Boothby","C",322,4,"Matricaria_chamomilla",10,"","A"
"1858","02/07/2024","BB","Boothby","C",322,4,"Lolium_perenne",10,"","A"
"1859","02/07/2024","BB","Boothby","C",321,1,"Epilobium_tetragonum",35,"","A"
"1860","02/07/2024","BB","Boothby","C",321,1,"Triticum_aestivum",5,"","A"
"1861","02/07/2024","BB","Boothby","C",321,1,"Lolium_perenne",10,"","A"
"1862","02/07/2024","BB","Boothby","C",321,1,"Bromus_hordeaceus",5,"","A"
